#{"t_start": 1742352320.0197754, "env_id": "None"}
r,l,t
-7446.0,126,3.327025
-7306.0,126,4.473273
-8087.0,126,5.582701
-7682.0,126,6.709155
-7354.0,126,7.858445
-7192.0,126,9.089307
-7400.0,126,10.337206
-7246.0,126,11.598048
-7716.0,126,12.865308
-7497.0,126,14.146564
-7436.0,126,15.402281
-7473.0,126,16.621398
-7329.0,126,17.872145
-7603.0,126,19.164681
-7076.0,126,20.470793
-7378.0,126,21.700631
-7755.0,126,22.944774
-7210.0,126,24.226864
-7168.0,126,25.498349
-7150.0,126,26.784142
-7372.0,126,28.066839
-7983.0,126,29.305119
-7612.0,126,30.580815
-8053.0,126,31.849221
-7522.0,126,33.068459
-7197.0,126,34.340569
-7496.0,126,35.610765
-7075.0,126,36.846075
-7279.0,126,38.109138
-7333.0,126,39.361934
-7770.0,126,40.601514
-7520.0,126,41.879204
-7929.0,126,43.16953
-7594.0,126,44.442858
-7414.0,126,45.746715
-7481.0,126,46.973427
-7717.0,126,48.228094
-8257.0,126,49.454579
-8211.0,126,50.653176
-7742.0,126,51.885452
-7300.0,126,53.098467
-7231.0,126,54.369738
-7460.0,126,55.727987
-7176.0,126,57.011965
-7506.0,126,58.281838
-7480.0,126,59.527367
-6952.0,126,60.752106
-7143.0,126,61.975627
-7575.0,126,63.208189
-7420.0,126,64.466806
-7497.0,126,65.819934
-7288.0,126,67.184348
-6904.0,126,68.520076
-6965.0,126,69.869178
-6817.0,126,71.215373
-7172.0,126,72.48952
-6811.0,126,73.784641
-7317.0,126,75.081461
-7212.0,126,76.379462
-7085.0,126,77.668684
-6702.0,126,79.002699
-6759.0,126,80.354998
-6899.0,126,81.633817
-7368.0,126,82.952324
-7396.0,126,84.25272
-7112.0,126,85.574944
-7443.0,126,86.901373
-7398.0,126,88.200971
-7402.0,126,89.474034
-7515.0,126,90.766953
-7395.0,126,92.059251
-7179.0,126,93.388247
-7481.0,126,94.642505
-6782.0,126,95.83779
-7002.0,126,97.025841
-7029.0,126,98.345721
-7281.0,126,99.585314
-7285.0,126,100.748836
-7166.0,126,101.898626
-7422.0,126,108.815568
-6897.0,126,110.154141
-7274.0,126,111.434314
-7307.0,126,112.724384
-7620.0,126,114.058261
-7126.0,126,115.324455
-7365.0,126,116.569691
-7486.0,126,117.837547
-6980.0,126,119.114833
-7599.0,126,120.386265
-7629.0,126,121.67157
-7871.0,126,122.969008
-7728.0,126,124.247158
-7303.0,126,125.569158
-7557.0,126,126.880988
-7632.0,126,128.139581
-7675.0,126,129.43698
-7990.0,126,130.745312
-9445.0,126,131.997494
-8480.0,126,133.297515
-8870.0,126,134.582678
-7836.0,126,135.848149
-8452.0,126,137.114735
-7860.0,126,138.389796
-8115.0,126,139.719079
-8165.0,126,140.98547
-7980.0,126,142.281112
-7931.0,126,143.528258
-8055.0,126,144.783197
-7722.0,126,146.025092
-8859.0,126,147.248626
-8845.0,126,148.452332
-7746.0,126,149.705624
-8726.0,126,150.931362
-8331.0,126,152.137493
-8740.0,126,153.413848
-7844.0,126,154.717027
-7833.0,126,156.028808
-9516.0,126,157.306589
-8575.0,126,158.555429
-9196.0,126,159.761095
-8440.0,126,161.031952
-9661.0,126,162.309404
-8217.0,126,163.588436
-8646.0,126,164.835852
-8771.0,126,166.069008
-9086.0,126,167.306401
-8971.0,126,168.52006
-9932.0,126,169.71106
-10301.0,126,170.884077
-9450.0,126,172.094467
-9751.0,126,173.306914
-9171.0,126,174.527787
-7681.0,126,175.763976
-7705.0,126,176.982287
-7689.0,126,178.193838
-8521.0,126,179.423605
-8560.0,126,180.66434
-7728.0,126,181.911677
-8078.0,126,183.169711
-8726.0,126,184.379131
-7781.0,126,185.626223
-8135.0,126,186.901978
-8543.0,126,188.147727
-7694.0,126,189.380583
-7481.0,126,190.628698
-7059.0,126,191.891965
-7222.0,126,193.162548
-6584.0,126,194.420881
-6793.0,126,195.656245
-6378.0,126,196.930435
-6490.0,126,198.240194
-6428.0,126,199.588591
-7124.0,126,200.902136
-7406.0,126,202.213059
-7016.0,126,203.493669
-6614.0,126,204.766452
-7283.0,126,206.043133
-7722.0,126,207.336318
-7522.0,126,215.208057
